Date,User,Activity,Issue,Comment,Hours
2025-04-29,ThienND,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-29,ChuongNPN,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-29,KietNA,06_User Acceptance Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-29,DuongNT,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-29,PhuDT,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-29,YenNH,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-29,VinhDV,05_Integration Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-29,QuyLV,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-28,ThienND,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-28,ChuongNPN,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-28,KietNA,06_User Acceptance Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-28,DuongNT,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-28,PhuDT,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-28,YenNH,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-28,VinhDV,05_Integration Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-28,QuyLV,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-25,ThienND,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-25,DuongNT,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-25,KietNA,06_User Acceptance Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-25,PhuDT,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-25,YenNH,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-25,VinhDV,05_Integration Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-25,QuyLV,03_Coding,Task #179387: [Phase3][UAT][FONT][CD] No.488,"",8.00
2025-04-25,ChuongNPN,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-24,ThienND,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-24,DuongNT,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-24,KietNA,06_User Acceptance Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-24,YenNH,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-24,VinhDV,05_Integration Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-24,PhuDT,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-24,QuyLV,03_Coding,Task #179387: [Phase3][UAT][FONT][CD] No.488,"",8.00
2025-04-24,ChuongNPN,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-23,KietNA,06_User Acceptance Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-23,YenNH,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-23,QuyLV,04_Unit Test,Task #179326: [Inspection] Performance Test,"",4.00
2025-04-23,DuongNT,04_Unit Test,Task #179326: [Inspection] Performance Test,8,8.00
2025-04-23,ThienND,04_Unit Test,Task #179326: [Inspection] Performance Test,8,8.00
2025-04-23,PhuDT,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-23,VinhDV,05_Integration Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-23,QuyLV,03_Coding,Task #179387: [Phase3][UAT][FONT][CD] No.488,"",4.00
2025-04-23,ChuongNPN,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-22,DuongNT,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-22,KietNA,06_User Acceptance Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-22,ThienND,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-22,QuyLV,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-22,PhuDT,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-22,YenNH,04_Unit Test,Task #179326: [Inspection] Performance Test,"",8.00
2025-04-22,VinhDV,05_Integration Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-22,ChuongNPN,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-21,ChuongNPN,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-21,KietNA,03_Coding,CR #179006: [Phase3][UAT][CMS] No.486,"",8.00
2025-04-21,ThienND,04_Unit Test,Task #173413: [Phase3][FRONT] Improve top page performance,"",8.00
2025-04-21,DuongNT,04_Unit Test,Task #178428: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-21,QuyLV,04_Unit Test,Task #178304: [Inspection] QualityUp,"",4.00
2025-04-21,QuyLV,03_Coding,Bug #178917: (QUp)(SCF103) - 2 User 2 Tab cùng edit nhưng không hiển thị lỗi,"",4.00
2025-04-21,YenNH,04_Unit Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",4.00
2025-04-21,YenNH,04_Unit Test,Task #179166: [Phase3][UAT][CMS][UT] No.486,"",4.00
2025-04-21,PhuDT,"08_Correction (fix bug, doc)",Bug #178752: [QUp]Màn hình CMS192: Chưa select đúng 記事カテゴリ khi thực hiện copy item ,"",1.00
2025-04-21,PhuDT,04_Unit Test,Task #178301: [Inspection] QualityUp,"",7.00
2025-04-21,VinhDV,05_Integration Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-18,ChuongNPN,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-18,ThienND,03_Coding,Task #173413: [Phase3][FRONT] Improve top page performance,"",8.00
2025-04-18,DuongNT,04_Unit Test,Task #178428: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-18,QuyLV,03_Coding,Task #178977: [Phase3][UAT][CMS][CD] No.490,"",8.00
2025-04-18,YenNH,04_Unit Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-18,KietNA,02_Design,CR #179006: [Phase3][UAT][CMS] No.486,"",8.00
2025-04-18,VinhDV,05_Integration Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-18,PhuDT,04_Unit Test,Task #178301: [Inspection] QualityUp,"",6.00
2025-04-18,PhuDT,"08_Correction (fix bug, doc)",Bug #178826: [QUp][ORD101] Vỡ layout khi order có nhiều hơn 10 sản phẩm,"",1.00
2025-04-18,PhuDT,"08_Correction (fix bug, doc)",Bug #178752: [QUp]Màn hình CMS192: Chưa select đúng 記事カテゴリ khi thực hiện copy item ,"",1.00
2025-04-17,DuongNT,04_Unit Test,Task #178428: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-17,ThienND,04_Unit Test,Task #173413: [Phase3][FRONT] Improve top page performance,"",8.00
2025-04-17,KietNA,03_Coding,CR #179006: [Phase3][UAT][CMS] No.486,"",8.00
2025-04-17,YenNH,04_Unit Test,Task #178978: [Phase3][UAT][CMS][UT] No.490,"",2.00
2025-04-17,YenNH,04_Unit Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",6.00
2025-04-17,ChuongNPN,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-17,QuyLV,03_Coding,Task #178977: [Phase3][UAT][CMS][CD] No.490,"",8.00
2025-04-17,PhuDT,04_Unit Test,Task #178301: [Inspection] QualityUp,"",8.00
2025-04-17,VinhDV,05_Integration Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-16,ChuongNPN,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-16,YenNH,04_Unit Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",3.00
2025-04-16,DuongNT,04_Unit Test,Task #178428: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-16,YenNH,04_Unit Test,Task #178704: [Phase3][UAT][CMS][UT] No.461,"",3.00
2025-04-16,YenNH,04_Unit Test,Bug #178640: [FRONT] Fix duplicate API call issue on the furusato-seikatsu page,"",2.00
2025-04-16,ThienND,04_Unit Test,Task #173413: [Phase3][FRONT] Improve top page performance,"",8.00
2025-04-16,KietNA,03_Coding,Bug #178640: [FRONT] Fix duplicate API call issue on the furusato-seikatsu page,"",8.00
2025-04-16,QuyLV,03_Coding,Bug #178581: [QUp] SYS702 画面 -  view権限のみ持っているが、ポップアップが表示されてしまう（hiển thị popup khi chỉ có quyền view）,"",2.00
2025-04-16,PhuDT,04_Unit Test,Task #178301: [Inspection] QualityUp,"",8.00
2025-04-16,VinhDV,05_Integration Test,Task #178300: [Inspection] QualityUp,"",8.00
2025-04-16,QuyLV,03_Coding,Bug #178749: [QUp] CMS192画面 - 無効な日付で選択する際のリンク切れ（Chọn ngày không hợp lệ bị chết trang）,"",2.00
2025-04-16,QuyLV,03_Coding,Bug #178828: (QUp)(CMS1A2-CMS1A3) - 削除された商品で商品記事を登録する際のリンク切れ（Chết trang khi thực đăng ký product article mà product đã chọn bị xóa）,"",4.00
2025-04-15,DuongNT,04_Unit Test,Task #178428: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-15,KietNA,03_Coding,Bug #178640: [FRONT] Fix duplicate API call issue on the furusato-seikatsu page,"",8.00
2025-04-15,YenNH,04_Unit Test,Task #178704: [Phase3][UAT][CMS][UT] No.461,"",4.00
2025-04-15,YenNH,04_Unit Test,Task #178613: [Slack_20250414][ORD301] [UT]  No.459 CMS 受注商品一覧の「配送業者CSV」,"",4.00
2025-04-15,VinhDV,05_Integration Test,Task #178300: [Inspection] QualityUp,"",8.00
2025-04-15,ThienND,04_Unit Test,Task #173413: [Phase3][FRONT] Improve top page performance,"",8.00
2025-04-15,QuyLV,03_Coding,Bug #178729: [No.460] [SET103] Hiển thị popup và clear product con trong sản phẩm SET,"",4.00
2025-04-15,PhuDT,04_Unit Test,Task #178301: [Inspection] QualityUp,"",7.00
2025-04-15,ChuongNPN,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-15,PhuDT,"08_Correction (fix bug, doc)",Bug #178735: [QUp]【CMS192画面】項目コピー時の「記事カテゴリ」が正しく選択されていない（Chưa select đúng [記事カテゴリ] khi thực hiện copy item）,"",1.00
2025-04-15,QuyLV,03_Coding,Task #178703: [Phase3][UAT][CMS][CD] No.461,"",4.00
2025-04-14,DuongNT,03_Coding,Task #178428: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-14,ChuongNPN,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-14,YenNH,04_Unit Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",6.00
2025-04-14,KietNA,03_Coding,Bug #178640: [FRONT] Fix duplicate API call issue on the furusato-seikatsu page,"",8.00
2025-04-14,YenNH,04_Unit Test,Task #178623: [Phase3][UAT][CMS][UT] No.460,"",2.00
2025-04-14,PhuDT,04_Unit Test,Task #178301: [Inspection] QualityUp,"",4.00
2025-04-14,PhuDT,03_Coding,Task #178612: [Slack_20250414][ORD301][CD] No.459 CMS 受注商品一覧の「配送業者CSV」 ,"",4.00
2025-04-14,VinhDV,06_User Acceptance Test,Task #178300: [Inspection] QualityUp,"",8.00
2025-04-14,ThienND,04_Unit Test,Task #173413: [Phase3][FRONT] Improve top page performance,"",8.00
2025-04-14,QuyLV,04_Unit Test,Task #178432: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-11,QuyLV,04_Unit Test,Task #178432: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-11,YenNH,04_Unit Test,Task #178434: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-11,DuongNT,04_Unit Test,Task #178428: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-11,ChuongNPN,04_Unit Test,Task #178426: [Inspection] [Test] Conduct Stress and Load Balancer Test – furusato-seikatsu,"",8.00
2025-04-11,ThienND,04_Unit Test,Task #173413: [Phase3][FRONT] Improve top page performance,"",8.00
2025-04-11,KietNA,03_Coding,Task #178304: [Inspection] QualityUp,"",8.00
2025-04-11,VinhDV,99_Others,Task #178300: [Inspection] QualityUp,"",8.00
2025-04-11,PhuDT,04_Unit Test,Task #178301: [Inspection] QualityUp,"",8.00
2025-04-10,ChuongNPN,04_Unit Test,Bug #173033: [Common] The 画像(2) field does not yet support drag-and-drop image creation.,"",8.00
2025-04-10,DuongNT,03_Coding,Bug #173033: [Common] The 画像(2) field does not yet support drag-and-drop image creation.,"",8.00
2025-04-10,ThienND,99_Others,Task #173413: [Phase3][FRONT] Improve top page performance,Investigate,8.00
2025-04-10,PhuDT,04_Unit Test,Task #178301: [Inspection] QualityUp,"",4.00
2025-04-10,YenNH,04_Unit Test,Task #178303: [Inspection] QualityUp,"",8.00
2025-04-10,KietNA,03_Coding,Task #178304: [Inspection] QualityUp,"",8.00
2025-04-10,VinhDV,99_Others,Task #178300: [Inspection] QualityUp,"",8.00
2025-04-10,PhuDT,"08_Correction (fix bug, doc)",Bug #178284: [No.436] Chết trang khi hết session,"",4.00
2025-04-10,QuyLV,03_Coding,Task #178001: [Slack_20250312][CMS1B1] Add 「概要」・「ヒーローイメージ」and remove「サムネイル」,"",8.00
2025-04-09,ThienND,99_Others,Task #173413: [Phase3][FRONT] Improve top page performance,Investigate,8.00
2025-04-09,ChuongNPN,04_Unit Test,Task #173413: [Phase3][FRONT] Improve top page performance,"",8.00
2025-04-09,KietNA,03_Coding,"Bug #177997: [No.436]  Không hiển thị đúng [category_id] khi truy cập màn [CMS193] bài viết [記事], đang mặc định hiển thị category_id =1 [移住]","",4.00
2025-04-09,KietNA,03_Coding,Bug #177988: [No.436] Không hiển thị template của [記事] và [特集] tại màn hình tạo bài viết [CMS192-CMS193],"",4.00
2025-04-09,PhuDT,"08_Correction (fix bug, doc)",Bug #177983: [No.436] Chưa  đổi tên option trong dropdown list tại màn hình [CMS601_画像フォルダ] ,"",4.00
2025-04-09,PhuDT,"08_Correction (fix bug, doc)",Bug #177985: [No.436] Không hiển thị template của [記事] và [特集] tại màn hình [CMS801_テンプレート管理],"",4.00
2025-04-09,VinhDV,"08_Correction (fix bug, doc)",Bug #178116: [No.432] Chỉnh sửa layout,"",2.00
2025-04-09,VinhDV,"08_Correction (fix bug, doc)",Bug #178115: [No.432] Chết trang với id quá dài,"",2.00
2025-04-09,DuongNT,03_Coding,Bug #177989: [No.436] Không hiển thị danh sách draft lên màn hình 特集 ,"",8.00
2025-04-09,YenNH,04_Unit Test,Task #176545: [CMS][UAT][CMS191][UT] No.436 Tách category của bài viết Special,"",3.00
2025-04-09,YenNH,04_Unit Test,Task #176581: [Phase3][UAT][CMS][UT] No.432,"",5.00
2025-04-09,QuyLV,03_Coding,Task #177999: [Slack_20250312][CMS1B1] Hide 「UsageDonationFund」Screen,"",4.00
2025-04-09,QuyLV,03_Coding,Task #178001: [Slack_20250312][CMS1B1] Add 「概要」・「ヒーローイメージ」and remove「サムネイル」,"",4.00
2025-04-09,VinhDV,"08_Correction (fix bug, doc)","Bug #177943: [No.432] Hiển thị message sai, khó hiểu","",2.00
2025-04-09,VinhDV,"08_Correction (fix bug, doc)",Bug #177948: [No.432] Chưa enable các button [新規作成] và hyperlink màn List khi có quyền view [CSVマッピング管理一覧] và [CSVマッピング管理登録・編集],"",2.00
2025-04-08,ThienND,99_Others,Task #173413: [Phase3][FRONT] Improve top page performance,Investigate,8.00
2025-04-08,ChuongNPN,04_Unit Test,Task #173413: [Phase3][FRONT] Improve top page performance,"",8.00
2025-04-08,DuongNT,03_Coding,Bug #177863: [No.432] Chưa ẩn màn hình [CSVマッピング管理] tại department TOP ,"",4.00
2025-04-08,DuongNT,03_Coding,Bug #177860: [No.432] Sai tên page title,"",4.00
2025-04-08,YenNH,04_Unit Test,Task #176545: [CMS][UAT][CMS191][UT] No.436 Tách category của bài viết Special,"",4.00
2025-04-08,YenNH,04_Unit Test,Task #176581: [Phase3][UAT][CMS][UT] No.432,"",4.00
2025-04-08,PhuDT,04_Unit Test,Task #176581: [Phase3][UAT][CMS][UT] No.432,"",8.00
2025-04-08,KietNA,03_Coding,Task #176544: [CMS][UAT][CMS191][CD] No.436 Tách category của bài viết Special,"",8.00
2025-04-08,QuyLV,03_Coding,Bug #177517: [No.439] Component [特産品 (10)] chưa hỗ trợ drag & drop hình ảnh,"",8.00
2025-04-08,VinhDV,03_Coding,Task #176580: [Phase3][UAT][CMS][CD] No.432,"",8.00
2025-04-04,DuongNT,03_Coding,Task #177298: [Phase3] [UAT][API][CD] No.447 ,"",8.00
2025-04-04,KietNA,03_Coding,Task #177439: [Slack_20250312][API][CD] No.458,"",8.00
2025-04-04,VinhDV,03_Coding,"Task #177435: [Slack_20250312][SYS303,SCF102,SCF103][CD] No.457","",4.00
2025-04-04,YenNH,04_Unit Test,Task #176511: [CMS][UAT][CMS111][UT] No.439 TOPスライド,"",8.00
2025-04-04,PhuDT,"08_Correction (fix bug, doc)",Bug #177540: [No.439] Chỉnh sửa component [特産品(10)],"",4.00
2025-04-04,PhuDT,"08_Correction (fix bug, doc)",Bug #177583: [No.439] Đang không lưu với trường hợp 非表示 ,"",4.00
2025-04-04,QuyLV,03_Coding,Task #177358: [Slack_20250312][CMS121][CD] No.454,"",6.00
2025-04-04,VinhDV,99_Others,Bug #177541: [No.439] Không thể scoll trang được ,"",4.00
2025-04-04,QuyLV,03_Coding,Bug #177517: [No.439] Component [特産品 (10)] chưa hỗ trợ drag & drop hình ảnh,"",2.00
2025-04-03,DuongNT,03_Coding,Task #177298: [Phase3] [UAT][API][CD] No.447 ,"",8.00
2025-04-03,PhuDT,03_Coding,Task #176580: [Phase3][UAT][CMS][CD] No.432,"",6.00
2025-04-03,PhuDT,"08_Correction (fix bug, doc)",Bug #177521: [No.439] Chết trang khi update bài viết,"",1.00
2025-04-03,QuyLV,03_Coding,Task #177358: [Slack_20250312][CMS121][CD] No.454,"",4.00
2025-04-03,PhuDT,"08_Correction (fix bug, doc)",Bug #177540: [No.439] Chỉnh sửa component [特産品(10)],"",1.00
2025-04-03,YenNH,04_Unit Test,"Task #177436: [Slack_20250312][SYS303,SCF102,SCF103][UT] No.457","",2.00
2025-04-03,YenNH,04_Unit Test,Task #177359: [Slack_20250312][CMS121][UT] No.454,"",2.00
2025-04-03,YenNH,04_Unit Test,Task #176511: [CMS][UAT][CMS111][UT] No.439 TOPスライド,"",4.00
2025-04-03,KietNA,03_Coding,"Task #177435: [Slack_20250312][SYS303,SCF102,SCF103][CD] No.457","",8.00
2025-04-03,VinhDV,"08_Correction (fix bug, doc)",Bug #177494: [No.439]  Đang hiển thị error message bằng tiếng anh và ,"",2.00
2025-04-03,VinhDV,"08_Correction (fix bug, doc)",Bug #177510: [No. 439] Update data trong db table cms_contents sai,"",2.00
2025-04-03,QuyLV,03_Coding,Bug #177534: [No.439] Hiển thị bài viết [CMS111] ở màn HOME,"",2.00
2025-04-03,QuyLV,03_Coding,Bug #177513: [No.439] Không có option hình ảnh Top-slide trong màn [画像フォルダ],"",2.00
2025-04-03,VinhDV,03_Coding,Task #176579: [Phase3][UAT][CMS] No.432,"",4.00
2025-04-02,DuongNT,03_Coding,Task #177298: [Phase3] [UAT][API][CD] No.447 ,"",8.00
2025-04-02,KietNA,03_Coding,"Task #177435: [Slack_20250312][SYS303,SCF102,SCF103][CD] No.457","",8.00
2025-04-02,QuyLV,03_Coding,CR #177357: [Slack_20250312][CMS121] No.454,"",7.00
2025-04-02,QuyLV,03_Coding,Bug #177407: [CMS1B1] Không upload được ảnh bằng cách kéo thả vào thumbnail,"",1.00
2025-04-02,YenNH,04_Unit Test,Task #177338: [Phase3][UAT][API][UT] No.435,"",8.00
2025-04-02,PhuDT,03_Coding,Task #176580: [Phase3][UAT][CMS][CD] No.432,"",8.00
2025-04-02,VinhDV,03_Coding,Issue #175028: [Slack_20250312] Thay đổi bố cục giao diện frontend và điều chỉnh API/CMS kèm theo,"",8.00
2025-04-01,DuongNT,03_Coding,Task #177298: [Phase3] [UAT][API][CD] No.447 ,"",8.00
2025-04-01,KietNA,03_Coding,"Task #177159: [Slack_20250312][SYS303,SCF102,SCF103][CD] No.445","",8.00
2025-04-01,QuyLV,03_Coding,Task #176495: [CMS][UAT][CMS1B1][CD]  No.438,"",8.00
2025-04-01,PhuDT,03_Coding,Task #176580: [Phase3][UAT][CMS][CD] No.432,"",8.00
2025-04-01,YenNH,04_Unit Test,Task #176581: [Phase3][UAT][CMS][UT] No.432,"",5.00
2025-04-01,YenNH,04_Unit Test,Task #177237: [Phase3][UAT][API][UT] No.446,"",3.00
2025-04-01,VinhDV,03_Coding,Task #176580: [Phase3][UAT][CMS][CD] No.432,"",8.00
